  m0  m1   c0   c1  c0^c1
-------------------------
0010 8010 5c13 dc13 8000
001b 801b 7c11 fc11 8000
0030 8030 5c11 dc11 8000
0036 8036 5c52 dc52 8000
0039 8039 7c50 fc50 8000
003b 803b 7c31 fc31 8000
0040 8040 4c03 cc03 8000
0045 8045 101b 901b 8000
0050 8050 4c01 cc01 8000
0056 8056 4c53 cc53 8000
0065 8065 103b 903b 8000
0069 8069 544b d44b 8000
0121 8121 1974 9974 8000
0124 8124 4926 c926 8000
0171 8171 1976 9976 8000
017c 817c 512e d12e 8000
0181 8181 0864 8864 8000
0184 8184 4836 c836 8000
018e 818e 4a34 ca34 8000
018f 818f 0a44 8a44 8000
0191 8191 0866 8866 8000
019f 819f 0a64 8a64 8000
01ec 81ec 402e c02e 8000
01ee 81ee 400e c00e 8000
0228 8228 5916 d916 8000
022a 822a 5914 d914 8000
027a 827a 4904 c904 8000
027f 827f 404c c04c 8000
0288 8288 4806 c806 8000
028a 828a 4804 c804 8000
028c 828c 6824 e824 8000
028d 828d 6804 e804 8000
029a 829a 4814 c814 8000
029c 829c 6834 e834 8000
02ed 82ed 510c d10c 8000
02ef 82ef 406c c06c 8000
0328 8328 1954 9954 8000
032a 832a 4906 c906 8000
0378 8378 1956 9956 8000
037e 837e 404e c04e 8000
0388 8388 0844 8844 8000
038a 838a 4816 c816 8000
038c 838c 6814 e814 8000
038d 838d 2864 a864 8000
0398 8398 0846 8846 8000
039d 839d 2844 a844 8000
03ec 83ec 510e d10e 8000
03ee 83ee 406e c06e 8000
042c 842c 6c64 ec64 8000
042d 842d 6c44 ec44 8000
0471 8471 606c e06c 8000
047c 847c 6c74 ec74 8000
0488 8488 7914 f914 8000
048a 848a 7934 f934 8000
048c 848c 4c44 cc44 8000
048d 848d 4c46 cc46 8000
049a 849a 6924 e924 8000
049c 849c 4c54 cc54 8000
04e1 84e1 424c c24c 8000
04e8 84e8 712c f12c 8000
0516 8516 5c50 dc50 8000
0519 8519 7c70 fc70 8000
0530 8530 5c53 dc53 8000
0536 8536 5c51 dc51 8000
0539 8539 7c71 fc71 8000
053b 853b 7c51 fc51 8000
0546 8546 4c51 cc51 8000
0547 8547 1019 9019 8000
0550 8550 4c43 cc43 8000
0556 8556 4c41 cc41 8000
0567 8567 1039 9039 8000
056b 856b 5449 d449 8000
062c 862c 6c54 ec54 8000
062d 862d 6c24 ec24 8000
0674 8674 604c e04c 8000
067d 867d 6c04 ec04 8000
0688 8688 3974 b974 8000
068a 868a 6904 e904 8000
068c 868c 4c56 cc56 8000
068d 868d 4c04 cc04 8000
0698 8698 3954 b954 8000
069d 869d 4c06 cc06 8000
06e4 86e4 426c c26c 8000
06ea 86ea 710c f10c 8000
0721 8721 5936 d936 8000
0724 8724 5934 d934 8000
0774 8774 4924 c924 8000
077d 877d 512c d12c 8000
0781 8781 4826 c826 8000
0784 8784 4824 c824 8000
078e 878e 4a04 ca04 8000
078f 878f 4a24 ca24 8000
0794 8794 4834 c834 8000
079e 879e 4a14 ca14 8000
07ed 87ed 402c c02c 8000
07ef 87ef 400c c00c 8000
082e 882e 4e44 ce44 8000
082f 882f 4e64 ce64 8000
0878 8878 530c d30c 8000
087e 887e 4e54 ce54 8000
0881 8881 5b34 db34 8000
0884 8884 5b14 db14 8000
088e 888e 4c64 cc64 8000
088f 888f 4c66 cc66 8000
0894 8894 4b04 cb04 8000
089e 889e 4c74 cc74 8000
08e1 88e1 602c e02c 8000
08e8 88e8 420c c20c 8000
0912 8912 5c33 dc33 8000
0917 8917 5e31 de31 8000
0932 8932 5c31 dc31 8000
0933 8933 5c72 dc72 8000
0935 8935 5e70 de70 8000
0937 8937 5e11 de11 8000
0942 8942 4c23 cc23 8000
0949 8949 546b d46b 8000
0952 8952 4c21 cc21 8000
0953 8953 4c73 cc73 8000
0965 8965 545b d45b 8000
0969 8969 547b d47b 8000
0a2e 8a2e 4e74 ce74 8000
0a2f 8a2f 4e04 ce04 8000
0a7a 8a7a 532c d32c 8000
0a7f 8a7f 4e24 ce24 8000
0a81 8a81 1b54 9b54 8000
0a84 8a84 4b24 cb24 8000
0a8e 8a8e 4c76 cc76 8000
0a8f 8a8f 4c24 cc24 8000
0a91 8a91 1b74 9b74 8000
0a9f 8a9f 4c26 cc26 8000
0ae4 8ae4 600c e00c 8000
0aea 8aea 422c c22c 8000
0b13 8b13 5c70 dc70 8000
0b15 8b15 5e50 de50 8000
0b32 8b32 5c73 dc73 8000
0b33 8b33 5c71 dc71 8000
0b35 8b35 5e51 de51 8000
0b37 8b37 5e71 de71 8000
0b43 8b43 4c71 cc71 8000
0b4b 8b4b 5469 d469 8000
0b52 8b52 4c63 cc63 8000
0b53 8b53 4c61 cc61 8000
0b67 8b67 5459 d459 8000
0b6b 8b6b 5479 d479 8000
0c12 8c12 4e21 ce21 8000
0c17 8c17 1c73 9c73 8000
0c32 8c32 4e01 ce01 8000
0c33 8c33 4e71 ce71 8000
0c35 8c35 1c76 9c76 8000
0c37 8c37 1c71 9c71 8000
0c46 8c46 5669 d669 8000
0c47 8c47 1e71 9e71 8000
0c55 8c55 1e74 9e74 8000
0c57 8c57 1e51 9e51 8000
0c63 8c63 7459 f459 8000
0c66 8c66 5679 d679 8000
0d13 8d13 4e51 ce51 8000
0d15 8d15 1c74 9c74 8000
0d32 8d32 4e61 ce61 8000
0d33 8d33 4e41 ce41 8000
0d35 8d35 1c75 9c75 8000
0d37 8d37 1c77 9c77 8000
0d40 8d40 5649 d649 8000
0d45 8d45 1e54 9e54 8000
0d55 8d55 1e55 9e55 8000
0d57 8d57 1e75 9e75 8000
0d60 8d60 5659 d659 8000
0d62 8d62 7479 f479 8000
0e10 8e10 6c01 ec01 8000
0e1b 8e1b 1c53 9c53 8000
0e30 8e30 6c21 ec21 8000
0e36 8e36 6c51 ec51 8000
0e39 8e39 1c56 9c56 8000
0e3b 8e3b 1c51 9c51 8000
0e43 8e43 3019 b019 8000
0e4b 8e4b 3c51 bc51 8000
0e59 8e59 3c54 bc54 8000
0e5b 8e5b 3c71 bc71 8000
0e63 8e63 1239 9239 8000
0e66 8e66 7449 f449 8000
0f16 8f16 6c71 ec71 8000
0f19 8f19 1c54 9c54 8000
0f30 8f30 6c41 ec41 8000
0f36 8f36 6c61 ec61 8000
0f39 8f39 1c55 9c55 8000
0f3b 8f3b 1c57 9c57 8000
0f42 8f42 3039 b039 8000
0f49 8f49 3c74 bc74 8000
0f59 8f59 3c75 bc75 8000
0f5b 8f5b 3c55 bc55 8000
0f60 8f60 7469 f469 8000
0f62 8f62 1219 9219 8000
7005 f005 0e35 8e35 8000
7007 f007 0e01 8e01 8000
7009 f009 2c15 ac15 8000
700b f00b 2c21 ac21 8000
7017 f017 1d33 9d33 8000
701b f01b 1d13 9d13 8000
7035 f035 1d27 9d27 8000
7037 f037 1d31 9d31 8000
7039 f039 1d07 9d07 8000
703b f03b 1d11 9d11 8000
7047 f047 1f31 9f31 8000
704b f04b 3d11 bd11 8000
7055 f055 1f25 9f25 8000
7057 f057 1f11 9f11 8000
7059 f059 3d05 bd05 8000
705b f05b 3d31 bd31 8000
7067 f067 0e21 8e21 8000
706b f06b 2c01 ac01 8000
70d7 f0d7 0c23 8c23 8000
70db f0db 0c03 8c03 8000
70f5 f0f5 0c37 8c37 8000
70f7 f0f7 0c21 8c21 8000
70f9 f0f9 0c17 8c17 8000
70fb f0fb 0c01 8c01 8000
712c f12c 4f74 cf74 8000
712d f12d 4f15 cf15 8000
7174 f174 415f c15f 8000
717d f17d 4f35 cf35 8000
718c f18c 4d76 cd76 8000
718d f18d 4d35 cd35 8000
7194 f194 615d e15d 8000
719d f19d 4d37 cd37 8000
71ac f1ac 4d56 cd56 8000
71ad f1ad 4d15 cd15 8000
71b4 f1b4 437d c37d 8000
71bd f1bd 4d17 cd17 8000
71cc f1cc 6d54 ed54 8000
71cd f1cd 6d35 ed35 8000
71e4 f1e4 417f c17f 8000
71ed f1ed 6d15 ed15 8000
722c f22c 6931 e931 8000
722d f22d 6911 e911 8000
