          0  1  2  3  4  5  6  7  8  9  a  b  c  d  e  f
0-e   |   1  0  1  0  0  0  0  1  1  1  0  1  1  0  1  0
1-4   |   1  0  0  0  0  1  0  1  0  1  0  1  1  0  1  1
2-d   |   0  1  0  1  1  0  0  0  1  0  1  1  0  1  0  1
3-8   |   1  0  1  1  0  1  0  1  0  1  0  1  1  0  0  0
4-b   |   1  1  0  1  1  0  1  0  1  0  1  0  0  0  0  1
5-5   |   1  0  1  1  0  1  0  1  0  1  0  1  1  0  0  0
6-1   |   1  0  1  0  0  1  0  0  0  1  1  1  1  0  1  0
7-9   |   1  0  0  0  0  1  0  1  0  1  0  1  1  0  1  1
8-7   |   0  0  0  1  1  0  1  0  1  0  1  0  1  1  0  1
9-c   |   1  0  1  0  0  1  0  0  0  1  1  1  1  0  1  0
a-f   |   1  0  1  0  1  1  0  1  0  0  0  1  1  0  1  0
b-2   |   1  0  1  0  1  1  0  1  0  0  0  1  1  0  1  0
c-6   |   1  1  0  1  1  0  1  0  1  0  1  0  0  0  0  1
d-0   |   0  1  0  1  1  0  0  0  1  0  1  1  0  1  0  1
e-a   |   0  0  0  1  1  0  1  0  1  0  1  0  1  1  0  1
f-3   |   1  0  1  0  0  0  0  1  1  1  0  1  1  0  1  0
         12  4  8  8  8  8  4  8  8  8  8 12 12  4  8  8

# for verification purpose
# sbox = {0x0: 0xf, 0x1: 0xe, 0x2: 0xb, 0x3: 0xc, 0x4: 0x6, 
#        0x5: 0xd, 0x6: 0x7, 0x7: 0x8, 0x8: 0x0, 0x9: 0x3, 
#        0xa: 0x9, 0xb: 0xa, 0xc: 0x4, 0xd: 0x2, 0xe: 0x1, 
#        0xf: 0x5}
